timestamp,X,Y,Z
1764061309947,-0.003435,0.021838,-0.007703
1764061309957,0.003214,0.036124,-0.011373
1764061309967,-0.001685,0.032983,-0.01252
1764061309977,0.003564,0.045447,-0.013178
1764061309987,-0.002359,0.035494,-0.01234
1764061309997,-0.002021,0.029567,-0.011648
1764061310007,-0.00539,0.026075,-0.009575
1764061310017,-0.011789,0.012479,-0.013101
1764061310028,-0.005113,0.020415,-0.015148
1764061310038,-0.002357,0.02262,-0.013324
1764061310048,-0.00042,0.030501,-0.015254
1764061310058,-0.001373,0.028214,-0.012126
1764061310068,-0.004841,0.013438,-0.014446
1764061310078,-0.007626,0.014893,-0.015132
1764061310088,-0.006322,0.016516,-0.010774
1764061310098,-0.006165,0.013634,-0.014389
1764061310108,-0.006474,0.019898,-0.012103
1764061310118,-0.004636,0.027505,-0.01159
1764061310128,-0.004035,0.022776,-0.008579
1764061310138,-0.001697,0.02553,-0.01325
1764061310148,-0.004577,0.027318,-0.018461
1764061310158,-0.005922,0.019528,-0.01078
1764061310168,-0.00693,0.020232,-0.014448
1764061310178,-0.006403,0.022216,-0.015517
1764061310188,-0.006922,0.021595,-0.011626
1764061310198,-0.0037,0.025213,-0.018486
1764061310208,-0.00642,0.01773,-0.009656
1764061310218,-0.007468,0.013453,-0.009933
1764061310228,-0.008312,0.015281,-0.012175
1764061310238,-0.007862,0.019172,-0.011081
1764061310248,-0.005395,0.019263,-0.008135
1764061310258,-0.007141,0.023008,-0.011427
1764061310268,-0.005043,0.020882,-0.011635
1764061310278,-0.003543,0.019748,-0.010661
1764061310288,-0.005042,0.02695,-0.011002
1764061310298,-0.004189,0.015616,-0.012421
1764061310308,-0.004487,0.02573,-0.011003
1764061310318,-0.00552,0.020463,-0.008623
1764061310328,-0.004441,0.025317,-0.010788
1764061310338,-0.004815,0.032664,-0.00735
1764061310348,-0.000501,0.038381,-0.012322
1764061310358,0.001742,0.040262,-0.014428
1764061310368,0.006371,0.058307,-0.020494
1764061310378,0.005873,0.055378,-0.021308
1764061310388,0.003283,0.051761,-0.017192
1764061310398,-0.000316,0.046876,-0.017253
1764061310408,-0.001783,0.026968,-0.013546
1764061310418,-0.00556,0.018779,-0.013047
1764061310428,-0.001411,0.032266,-0.01719
1764061310438,0.003261,0.043586,-0.017122
1764061310448,0.005868,0.051235,-0.0166
1764061310458,0.004318,0.045536,-0.017869
1764061310468,0.004125,0.048395,-0.01584
1764061310478,0.00159,0.040126,-0.01465
1764061310488,0.003131,0.048426,-0.016182
1764061310498,0.001542,0.040645,-0.016629
1764061310508,0.001859,0.043765,-0.017601
1764061310518,0.006314,0.04278,-0.020895
1764061310528,0.001091,0.038538,-0.016288
1764061310538,-0.003233,0.028435,-0.015365
1764061310548,-0.004694,0.025988,-0.012796
1764061310558,-0.004309,0.029334,-0.011889
1764061310568,-0.00621,0.016706,-0.010011
1764061310578,-0.004439,0.020802,-0.013256
1764061310588,-0.006487,0.01921,-0.010408
1764061310598,-0.005293,0.021719,-0.011009
1764061310608,-0.001264,0.028451,-0.011457
1764061310618,0.001086,0.038872,-0.01368
1764061310628,0.004385,0.040236,-0.015738
1764061310638,-0.00142,0.032761,-0.014246
1764061310648,0.00019,0.038949,-0.015913
1764061310658,-0.005534,0.027833,-0.01711
1764061310668,-0.007951,0.025063,-0.009277
1764061310678,-0.011245,0.014893,-0.013125
1764061310689,-0.003949,0.019655,-0.013765
1764061310699,-0.006129,0.014828,-0.014328
1764061310709,-0.010094,0.014586,-0.015564
1764061310719,-0.008378,0.014597,-0.016039
1764061310729,-0.007311,0.021637,-0.012831
1764061310739,-0.004888,0.025722,-0.018235
1764061310749,-0.008208,0.012873,-0.014838
1764061310759,-0.007732,0.013031,-0.015407
1764061310769,-0.008703,0.013143,-0.01362
1764061310779,-0.007081,0.023815,-0.018666
1764061310789,-0.005284,0.025345,-0.013691
1764061310799,-0.003847,0.013599,-0.013769
1764061310809,-0.007726,0.022844,-0.015751
1764061310819,-0.002167,0.02733,-0.014128
1764061310829,-0.004732,0.034463,-0.016647
1764061310839,-0.00143,0.033817,-0.014749
1764061310849,-0.003744,0.031381,-0.01499
1764061310859,-0.007289,0.017792,-0.015733
1764061310869,-0.005193,0.021919,-0.014617
1764061310879,-0.006675,0.020617,-0.009077
1764061310889,-0.005118,0.021766,-0.012497
1764061310899,-0.004498,0.018468,-0.01805
